Product_name,Product_name_link,Thaiwatsadu_price,Thaiwatsadu_link,DoHome_price,DoHome_link,Thaiwatsadu_SKU,Thaiwatsadu_exist,Dohome_exist,Both_exist
ประตูภายใน UPVC ECO-DOOR รุ่น PD1 70x200 cm สีครีมทูโทนเทา (เจาะลูกบิด),http://spy.price2spy.com/product/519814585,1490.0,https://www.thaiwatsadu.com/th/sku/60416137,1490.0,https://www.dohome.co.th/th/eco-door-upvc-bathroom-door-70x200cm-no-pd1-gray-cream-10399943.html?srsltid=AfmBOorsN_D4yS24hmDs16rB0k6b6H_RsX907HD805QmNfGXIkrIwyhM,60416137,True,True,True
ประตูภายใน UPVC ECO-DOOR รุ่น PE2 80x200 cm สีเทา,http://spy.price2spy.com/product/519816441,1990.0,https://www.thaiwatsadu.com/th/sku/60416135,1990.0,https://www.dohome.co.th/th/eco-door-interior-upvc-door-80x200cm-no-pe2-gray-10389684.html?srsltid=AfmBOoqgaWiPJXA_6a6Af_bIUq32WDTUo6UlKtX50UA4Bn-kJOuDivTS,60416135,True,True,True
ประตูภายใน uPVC Revo 2 ลูกฟัก MASTERWOOD รุ่น MI02 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),http://spy.price2spy.com/product/468253849,2070.0,https://www.thaiwatsadu.com/th/sku/60301473,2290.0,https://www.dohome.co.th/th/extera-upvc-door-80-x-200-cm-2-mullion-louis-et02-punched-10187283.html,60301473,True,True,True
ประตูภายใน uPVC มีเกล็ด ECO DOOR รุ่น PC2 ขนาด 70 x 200 ซม. สีโอ๊กทูโทน (เจาะลูกบิด),http://spy.price2spy.com/product/455885941,1790.0,https://www.thaiwatsadu.com/th/sku/60387825,1790.0,https://www.dohome.co.th/th/eco-door-upvc-bathroom-door-70x200cm-no-pc2-oak-brown-10399891.html,60387825,True,True,True
ประตูภายใน uPVC เซาะร่อง CONNEX รุ่น LT13 ขนาด 80 x 200 ซม. สีลัตเต (เจาะลูกบิด),http://spy.price2spy.com/product/355861890,2490.0,https://www.thaiwatsadu.com/th/sku/60308766,2590.0,https://www.dohome.co.th/th/poly-timber-upvc-door-80x200-cm-l05-g5c-silver-greywood-10300966.html,60308766,True,True,True
ประตูภายใน uPVC เซาะร่องดำ ECO DOOR รุ่น UC3-3T ขนาด 80 x 200 ซม. สีเทา (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/463542417,2890.0,https://www.thaiwatsadu.com/th/sku/60319458,2890.0,https://www.dohome.co.th/th/upvc-grooved-doorsize-80-x-200-cm-uc3-3t-unpunched-10334579.html,60319458,True,True,True
ประตูภายใน WPC ECO DOOR รุ่น WP3 80x200 cm สีโอ๊คทูโทน,http://spy.price2spy.com/product/519814601,2490.0,https://www.thaiwatsadu.com/th/sku/60422213,2490.0,https://www.dohome.co.th/th/wpc-interior-door-80x200-cm-no-wp3-gray-oak-color-no-drilling-10408551.html?srsltid=AfmBOookw2pgGqEz1rAutVYfLIw70F4Y4KnWNmCBvMydRmC1dnu-AJYr,60422213,True,True,True
ประตูภายใน WPC ECO DOOR รุ่น WP4 ขนาด 80 x 200 ซม. สีครีม (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/501372001,2490.0,https://www.thaiwatsadu.com/th/sku/60416140,2490.0,https://www.dohome.co.th/th/wpc-interior-door-80x200-cm-no-wp4-cream-color-no-drilling-10408552.html,60416140,True,True,True
ประตูภายใน ไม้สน WINDOORS รุ่น CE-04 100x200 cm สีธรรมชาติ (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/536666697,2090.0,https://www.thaiwatsadu.com/th/sku/60294072,2090.0,https://www.dohome.co.th/th/leh-new-zealand-pine-wood-door-size-100-x-200-cm-ce04-10275062.html?srsltid=AfmBOooY7GqFNj_wDqIGCigor3PazHVUz8m6MknLAjs81sZYjYwLev-H,60294072,True,True,True
ประตูภายใน ไม้สน Windoors รุ่น CE-04 80x180 cm สีธรรมชาติ (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/536666541,1790.0,https://www.thaiwatsadu.com/th/sku/60423983,1790.0,https://www.dohome.co.th/th/leh-new-zealand-pine-wood-door-size-80-x-180-cm-ce04-10275058.html?srsltid=AfmBOooFhYkGyKs4UsfoTPcf0zYReKeGUmhAeBGfdCoaJEFOYVC91fsY,60423983,True,True,True
