Product_name,Thaiwatsadu_price,Thaiwatsadu_link,MegaHomeTH_price,MegaHomeTH_link
?????????????????????????? ?????????? 200 ???? ??,573,https://www.thaiwatsadu.com/th/sku/60368020,750,https://www.megahome.co.th/p/1120224
?????????????????????????? ?????????? 240 ???? ??,598,https://www.thaiwatsadu.com/th/sku/60296351,750,https://www.megahome.co.th/p/1120224
?????????????????????????? ?????????? 240 ???? ???,708,https://www.thaiwatsadu.com/th/sku/60309331,799,https://www.megahome.co.th/p/1115513
????????????????????????????? FIREMAN PRO 1A1B 2.2 ????? ???,718,https://www.thaiwatsadu.com/th/sku/60292153,890,https://www.megahome.co.th/p/1163545
????? 90 ???? ??? ?????? 3 ???,50,https://www.thaiwatsadu.com/th/sku/60184787,47,https://www.megahome.co.th/p/1055353
???????????????????? ?????? 356-51N 1 ???? ???,99,https://www.thaiwatsadu.com/th/sku/60406652,99,https://www.megahome.co.th/p/1055323
??? PVC ????13.5 ?????? 56-13.5(1) 1 ???? 4?. ?????,110,https://www.thaiwatsadu.com/th/sku/60225498,100,https://www.megahome.co.th/p/1055063
??? PVC ????13.5 ?????? 56-13.5(2) 2 ???? 4?. ?????,288,https://www.thaiwatsadu.com/th/sku/60225501,260,https://www.megahome.co.th/p/1055048
??? PVC ????5 ?????? 56-5(1 1/2) 1 1/2 ???? 4?. ?????,86,https://www.thaiwatsadu.com/th/sku/60225473,80,https://www.megahome.co.th/p/1133862
??? PVC ????5 ?????? 56-5(6) 6 ???? 4?. ?????,996,https://www.thaiwatsadu.com/th/sku/60225480,1470,https://www.megahome.co.th/p/1133720
??? PVC ????8.5 ??????? ?????? 56-8.5(4)??? 4 ???? 4?. ?????,693,https://www.thaiwatsadu.com/th/sku/60225511,640,https://www.megahome.co.th/p/1055106
??? PVC ????8.5 ?????? 56-8.5(1.1/2) 1 1/2 ???? 4?. ?????,130,https://www.thaiwatsadu.com/th/sku/60225485,115,https://www.megahome.co.th/p/1054929
??? PVC ????8.5 ?????? 56-8.5(6) 6 ???? 4?. ?????,1430,https://www.thaiwatsadu.com/th/sku/60225491,2200,https://www.megahome.co.th/p/1133845
?????????? PVC ?????? 1 ???,45,https://www.thaiwatsadu.com/th/sku/60342802,67,https://www.megahome.co.th/p/1055394
?????? ?????? 2 ???,47,https://www.thaiwatsadu.com/th/sku/60184725,55,https://www.megahome.co.th/p/1054917
,,,,
